session,true,predicted
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,noise
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,faint_source
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,star
TRES-3__2026-08-14,cosmic_ray,faint_source
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,faint_source
TRES-3__2026-08-14,cosmic_ray,satellite_trail
TRES-3__2026-08-14,cosmic_ray,faint_source
TRES-3__2026-08-14,cosmic_ray,faint_source
TRES-3__2026-08-14,cosmic_ray,faint_source
TRES-3__2026-08-14,cosmic_ray,noise
TRES-3__2026-08-14,cosmic_ray,faint_source
TRES-3__2026-08-14,cosmic_ray,faint_source
TRES-3__2026-08-14,cosmic_ray,hot_pixel
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,noise
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,satellite_trail
TRES-3__2026-08-14,faint_source,star
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,hot_pixel
TRES-3__2026-08-14,faint_source,cosmic_ray
TRES-3__2026-08-14,faint_source,hot_pixel
