target,session_id,track_id,n_points,depth_pct,significance_sigma,median_flux,rms_ppt,expected_depth_pct,n_field_stars,field_p_value,field_sigma_95,field_sigma_median,depth_ratio
CoRoT-2,CoRoT-2__2026-08-16,786,85,2.084812929764846,5.279028627673599,1771.5,21.357630030916024,2.75,263,0.0038022813688212928,2.2539087962604873,0.39203035471863035,0.7581137926417622
CoRoT-2,CoRoT-2__2026-08-09,654,86,2.0020186275676806,5.276631639040271,1728.5,20.71543561567036,2.75,282,0.0035460992907801418,2.345843003162465,0.2578296935627411,0.7280067736609748
CoRoT-2,CoRoT-2__2026-08-09,715,86,1.7709070246455503,4.172141289127076,2272.5,22.092609994848072,2.75,282,0.0070921985815602835,2.345843003162465,0.2578296935627411,0.6439661907802001
CoRoT-2,CoRoT-2__2026-08-16,772,85,3.6958316297699767,3.9241282354468745,746.0,48.88704065075566,2.75,263,0.0076045627376425855,2.2539087962604873,0.39203035471863035,1.3439387744618096
HATP-10,HATP-10__2026-09-05,704,71,1.9575844539292822,8.48252045995015,3490.0,12.565907887055017,1.6,128,0.0078125,2.4910924296657506,-0.1582784863565203,1.2234902837058013
Qatar-1,Qatar-1__2026-08-18,107,71,4.921001056181815,5.254038349076075,1376.0,50.015414466420275,2.14,185,0.005405405405405406,3.3776872905673345,1.6500579644681186,2.299533203823278
Qatar-1,Qatar-1__2026-08-21,486,73,2.595361205273361,5.163295429096624,1528.0,25.705747487160583,2.14,198,0.005050505050505051,2.3422151037235146,0.08171470452759345,1.2127856099408227
TRES-5,TRES-5__2026-08-17,495,52,1.7286504647584326,5.673593122932809,6075.25,14.432714130602573,2.192,220,0.004545454545454545,3.061041116275965,0.3416575141851451,0.7886179127547593
TRES-5,TRES-5__2026-08-17,178,52,5.086785755160264,5.486342306026622,949.0,44.257484459218084,2.192,220,0.00909090909090909,3.061041116275965,0.3416575141851451,2.3206139393979304
TRES-5,TRES-5__2026-08-29,218,73,12.284782217950493,4.796855936743862,478.0,136.34185745600797,2.192,241,0.004149377593360996,2.34732511070012,0.09874798066907436,5.604371449794932
TRES-5,TRES-5__2026-08-29,376,66,2.0223905076068927,4.651023250322977,2277.5,20.702382950781747,2.192,241,0.008298755186721992,2.34732511070012,0.09874798066907436,0.9226234067549692
TRES-5,TRES-5__2026-09-01,73,74,2.845017119476191,4.452149954370995,1248.75,33.51245654795987,2.192,335,0.0029850746268656717,2.6967963921627147,0.2238016875674055,1.2979092698340287
TRES-5,TRES-5__2026-09-01,69,74,1.549516992999269,4.265028466567674,7093.75,19.41703199112962,2.192,335,0.005970149253731343,2.6967963921627147,0.2238016875674055,0.7068964384120752
TRES-5,TRES-5__2026-08-26,152,74,6.355804957478235,4.079006891816313,557.0,79.76329215368263,2.192,225,0.0044444444444444444,1.8881783586794032,-0.06514002558174027,2.8995460572437204
TRES-5,TRES-5__2026-09-04,974,56,3.5982540332643684,3.6806115806830926,595.0,43.03636434883081,2.192,450,0.0022222222222222222,1.757376496727763,0.18400955907077746,1.6415392487519929
TRES-5,TRES-5__2026-09-01,150,74,1.9800722026416033,3.6167925177842193,2089.0,27.8151824774723,2.192,335,0.008955223880597015,2.6967963921627147,0.2238016875674055,0.903317610694162
TRES-5,TRES-5__2026-08-26,153,74,2.042267809070079,3.2421438700561067,1623.0,27.997935142822133,2.192,225,0.008888888888888889,1.8881783586794032,-0.06514002558174027,0.9316915187363499
TRES-5,TRES-5__2026-09-04,1127,54,6.861442234936788,3.087282365803123,547.5,90.91847058964932,2.192,450,0.0044444444444444444,1.757376496727763,0.18400955907077746,3.13021999769014
TRES-5,TRES-5__2026-09-04,966,56,7.186715613025968,3.0509632936705042,567.75,96.23733301374664,2.192,450,0.006666666666666667,1.757376496727763,0.18400955907077746,3.278611137329365
TRES-5,TRES-5__2026-09-04,1021,56,3.380752553339787,2.810549399418848,453.0,51.481159265390076,2.192,450,0.008888888888888889,1.757376496727763,0.18400955907077746,1.5423141210491729
