target,session_id,phase,phase_hours,norm_flux,bjd_tdb
CoRoT-2,CoRoT-2__2026-08-09,-0.03990344750218355,-1.6692347909735321,0.9927652448378025,2461261.7298135506
CoRoT-2,CoRoT-2__2026-08-09,-0.038182330249583174,-1.5972372825570447,1.0004696849457284,2461261.732813447
CoRoT-2,CoRoT-2__2026-08-09,-0.03760862458784686,-1.5732381168133742,0.9981911961202454,2461261.733813412
CoRoT-2,CoRoT-2__2026-08-09,-0.03646121326437424,-1.525239785326034,0.9903093120265793,2461261.7358133425
CoRoT-2,CoRoT-2__2026-08-09,-0.035887507602637925,-1.5012406195823638,0.9914762620930119,2461261.7368133077
CoRoT-2,CoRoT-2__2026-08-09,-0.03416639061742899,-1.429243122351353,1.0016283504421408,2461261.7398132035
CoRoT-2,CoRoT-2__2026-08-09,-0.03301897929395636,-1.3812447908640129,0.9932101666369623,2461261.741813134
CoRoT-2,CoRoT-2__2026-08-09,-0.03187156797048374,-1.3332464593766724,0.9782580527619288,2461261.7438130644
CoRoT-2,CoRoT-2__2026-08-09,-0.030724156647011114,-1.285248127889332,0.9984127578119276,2461261.745812995
CoRoT-2,CoRoT-2__2026-08-09,-0.02957674532353849,-1.2372497964019917,1.006698935647499,2461261.7478129254
CoRoT-2,CoRoT-2__2026-08-09,-0.028429334000065865,-1.1892514649146513,1.0017799492304431,2461261.749812856
CoRoT-2,CoRoT-2__2026-08-09,-0.027281922943984682,-1.141253144612788,0.9947041092781765,2461261.751812786
CoRoT-2,CoRoT-2__2026-08-09,-0.026134511620512058,-1.0932548131254478,0.9874006717601899,2461261.7538127163
CoRoT-2,CoRoT-2__2026-08-09,-0.024987100563976128,-1.0452564928045613,0.9948470906040684,2461261.7558126464
CoRoT-2,CoRoT-2__2026-08-09,-0.023839689507894946,-0.9972581725026981,0.9890755346930458,2461261.7578125764
CoRoT-2,CoRoT-2__2026-08-09,-0.02269227818442232,-0.9492598410153579,0.9839683823918015,2461261.759812507
CoRoT-2,CoRoT-2__2026-08-09,-0.02154486712788639,-0.9012615206944716,0.990927892758592,2461261.761812437
CoRoT-2,CoRoT-2__2026-08-09,-0.01982375067700559,-0.8292640458153924,0.994942910049897,2461261.7648123316
CoRoT-2,CoRoT-2__2026-08-09,-0.01867633962092441,-0.7812657255135291,0.995384522174985,2461261.7668122617
CoRoT-2,CoRoT-2__2026-08-09,-0.01752892856438848,-0.7332674051926429,1.0006168519659284,2461261.7688121917
CoRoT-2,CoRoT-2__2026-08-09,-0.016381517508307297,-0.6852690848907796,0.9869610684774298,2461261.7708121217
CoRoT-2,CoRoT-2__2026-08-09,-0.01523410671916281,-0.6372707757553705,0.990533925352129,2461261.7728120512
CoRoT-2,CoRoT-2__2026-08-09,-0.01408669566262688,-0.5892724554344844,1.0050177977663988,2461261.7748119812
CoRoT-2,CoRoT-2__2026-08-09,-0.012939284606545698,-0.541274135132621,1.0151055966500153,2461261.7768119113
CoRoT-2,CoRoT-2__2026-08-09,-0.01179187381740121,-0.4932758259972119,0.9962463767965045,2461261.778811841
CoRoT-2,CoRoT-2__2026-08-09,-0.010644463028256723,-0.4452775168618029,0.9202031615888134,2461261.7808117704
CoRoT-2,CoRoT-2__2026-08-09,-0.009497051971720794,-0.39727919654091665,0.9859472694748471,2461261.7828117004
CoRoT-2,CoRoT-2__2026-08-09,-0.008349641182576306,-0.34928088740550756,1.011617044367572,2461261.78481163
CoRoT-2,CoRoT-2__2026-08-09,-0.007202230393431819,-0.3012825782700985,0.9865638649809513,2461261.7868115595
CoRoT-2,CoRoT-2__2026-08-09,-0.0054811142099424615,-0.2292851145764963,1.001581695626663,2461261.789811454
CoRoT-2,CoRoT-2__2026-08-09,-0.004333703420797974,-0.18128680544108722,0.9892128050501662,2461261.7918113833
CoRoT-2,CoRoT-2__2026-08-09,-0.0031862926316534868,-0.13328849630567813,0.993315959642597,2461261.793811313
CoRoT-2,CoRoT-2__2026-08-09,-0.0020388818425089994,-0.08529018717026904,1.0550616623652742,2461261.7958112424
CoRoT-2,CoRoT-2__2026-08-09,-0.000891471320301207,-0.03729188920131413,0.999849644030657,2461261.7978111715
CoRoT-2,CoRoT-2__2026-08-09,0.00025593946884328034,0.010706419934094965,0.9941458464633278,2461261.799811101
CoRoT-2,CoRoT-2__2026-08-09,0.0014033499905963254,0.05870471788402695,0.9973273295616305,2461261.80181103
CoRoT-2,CoRoT-2__2026-08-09,0.0025507607797408127,0.10670302701943604,0.988399257304919,2461261.8038109597
CoRoT-2,CoRoT-2__2026-08-09,0.003698171301948605,0.15470132498839095,0.9911044043043501,2461261.8058108888
CoRoT-2,CoRoT-2__2026-08-09,0.00484558182370165,0.20269962293832294,1.001332261191732,2461261.807810818
CoRoT-2,CoRoT-2__2026-08-09,0.0059929926128461375,0.25069793207373203,0.9956894700319776,2461261.8098107474
CoRoT-2,CoRoT-2__2026-08-09,0.00714040313505393,0.29869623004268697,0.9986835872823113,2461261.8118106765
CoRoT-2,CoRoT-2__2026-08-09,0.00886151878421515,0.3706936713843578,0.9939882258308913,2461261.81481057
CoRoT-2,CoRoT-2__2026-08-09,0.010008929306422942,0.4186919693533127,0.9894012354811216,2461261.816810499
CoRoT-2,CoRoT-2__2026-08-09,0.011156339828175987,0.4666902673032447,0.9942901894298973,2461261.818810428
CoRoT-2,CoRoT-2__2026-08-09,0.01230375035038378,0.5146885652721996,0.9991088754142214,2461261.820810357
CoRoT-2,CoRoT-2__2026-08-09,0.013451160872136825,0.5626868632221316,1.0002245568277466,2461261.822810286
CoRoT-2,CoRoT-2__2026-08-09,0.014598571126953175,0.6106851500056094,1.0114866457875098,2461261.824810215
CoRoT-2,CoRoT-2__2026-08-09,0.015745981649160967,0.6586834479745644,1.001063873960057,2461261.826810144
CoRoT-2,CoRoT-2__2026-08-09,0.016893391903977317,0.7066817347580422,1.009922785748557,2461261.8288100725
CoRoT-2,CoRoT-2__2026-08-09,0.018040802425730362,0.7546800327079741,1.0069857158792652,2461261.8308100016
CoRoT-2,CoRoT-2__2026-08-09,0.019188212680546712,0.802678319491452,0.9969419770528692,2461261.83280993
CoRoT-2,CoRoT-2__2026-08-09,0.020335622935363062,0.8506766062749298,0.9861362017486553,2461261.834809859
CoRoT-2,CoRoT-2__2026-08-09,0.021483033190179412,0.8986748930584075,1.0249775034949657,2461261.8368097874
CoRoT-2,CoRoT-2__2026-08-09,0.02320414883979538,0.9706723344191013,1.0059574664883082,2461261.839809681
CoRoT-2,CoRoT-2__2026-08-09,0.02435155909461173,1.0186706212025793,1.006768950547748,2461261.8418096094
CoRoT-2,CoRoT-2__2026-08-09,0.02549896934942808,1.066668907986057,1.011731527703986,2461261.843809538
CoRoT-2,CoRoT-2__2026-08-09,0.026646379336852988,1.1146671835840576,1.005001081507504,2461261.845809466
CoRoT-2,CoRoT-2__2026-08-09,0.027793789591669338,1.1626654703675356,0.9963005908004242,2461261.847809395
CoRoT-2,CoRoT-2__2026-08-09,0.028941199846485688,1.2106637571510133,0.9901113107991156,2461261.8498093234
CoRoT-2,CoRoT-2__2026-08-09,0.030088610101302038,1.258662043934491,1.002532987651022,2461261.851809252
