target,phase_hours,flux,err,n,n_nights
CoRoT-2,-1.5750000000000008,0.9981911961202454,0.002012704163172329,7,2
CoRoT-2,-1.425000000000001,1.0016283504421408,0.0017606764266615183,5,2
CoRoT-2,-1.275000000000001,0.9966954493040899,0.006634611282626723,6,2
CoRoT-2,-1.125000000000001,0.9962174247031542,0.004876664434911705,6,2
CoRoT-2,-0.9750000000000012,0.9897425004645868,0.0020907472137402703,6,2
CoRoT-2,-0.8250000000000013,0.9993161104463528,0.0024804128046991927,5,2
CoRoT-2,-0.6750000000000014,0.9932059187036922,0.0030736643563927996,6,2
CoRoT-2,-0.5250000000000015,1.0006320872814516,0.004241170086843574,6,2
CoRoT-2,-0.37500000000000155,0.9870895205658274,0.010437533568486224,7,2
CoRoT-2,-0.22500000000000164,1.001581695626663,0.02205215819602556,5,2
CoRoT-2,-0.07500000000000173,1.012214175880783,0.018820037155285303,6,2
CoRoT-2,0.07499999999999818,0.9955919066407155,0.0016406120937398393,6,2
CoRoT-2,0.2249999999999981,0.9971451511839167,0.0159841388578831,7,2
CoRoT-2,0.374999999999998,0.9939882258308913,0.02295068996848308,5,2
CoRoT-2,0.5249999999999979,0.9966995324220593,0.0026403004818031334,6,2
CoRoT-2,0.6749999999999978,1.0012834922172442,0.002182311494568045,6,2
CoRoT-2,0.8249999999999977,0.9969419770528692,0.00519121640419599,7,2
CoRoT-2,0.9749999999999974,1.0023825626934484,0.0031638368452844207,5,2
CoRoT-2,1.1249999999999973,1.0047101984429019,0.001918438687239709,6,2
CoRoT-2,1.2749999999999977,0.9953571687119167,0.0021940864732742705,6,2
CoRoT-2,1.4249999999999976,1.002557395976084,0.002935290729043299,7,2
CoRoT-2,1.574999999999997,0.9988954442137378,0.0038360035731330113,5,2
CoRoT-2,1.724999999999997,1.0063590606757142,0.0027755969995916854,6,2
CoRoT-2,1.8749999999999973,1.0066930344339164,0.005586837512364619,6,2
CoRoT-2,2.0249999999999972,1.0101285234250375,0.0032415662343111646,7,2
CoRoT-2,2.1749999999999967,1.0009215809299252,0.00253463849648789,5,2
CoRoT-2,2.3249999999999966,1.011333083788132,0.0033785613678898414,6,2
CoRoT-2,2.474999999999997,1.024054445098063,0.004198019372517815,6,2
