session_id,target,target_track,target_x0,target_y0,n_comparison_stars,persistence_bar_used,quality,target_saturated,target_r_from_centre,n_central_candidates,n_points,rms_ppt,rms_target_only_ppt,improvement_factor
CoRoT-2__2026-08-09,CoRoT-2,717,387.9497120165559,218.60573216885476,8,0.9,good,False,70.3,20,86,15.879,112.365,7.08
CoRoT-2__2026-08-16,CoRoT-2,859,399.35387356215347,222.69071634500108,8,0.9,good,False,79.2,17,85,27.538,198.823,7.22
HATP-10__2026-09-05,HATP-10,129,240.31845238095238,244.16220238095238,4,0.9,good,False,84.9,0,87,161.91,226.795,1.4
Qatar-1__2026-08-18,Qatar-1,174,340.6573552651289,244.2327799497562,8,0.9,good,False,16.7,8,71,22.44,42.869,1.91
Qatar-1__2026-08-21,Qatar-1,551,380.6147631248179,299.9609612893124,8,0.9,good,False,74.8,12,73,7.151,7.336,1.03
TRES-3__2026-08-10,TRES-3,13,358.96875,198.83333333333334,8,0.6,good,False,61.4,3,51,131.974,530.128,4.02
TRES-3__2026-08-14,TRES-3,44,323.2047810400762,218.71739365927075,8,0.9,good,False,31.3,1,49,155.188,831.855,5.36
TRES-3__2026-08-27,TRES-3,129,308.67473579598453,294.37768549447117,8,0.9,good,False,47.3,4,70,15.842,105.707,6.67
TRES-3__2026-08-31,TRES-3,228,316.65291964370084,196.10742061236448,8,0.9,good,False,54.5,1,67,98.441,943.144,9.58
TRES-5__2026-08-17,TRES-5,351,311.07056503911565,292.33229164342026,8,0.6,good,True,44.6,23,52,15.403,33.408,2.17
TRES-5__2026-08-20,TRES-5,123,315.7925384926594,271.2441787342503,8,0.75,good,False,23.2,1,66,160.169,975.594,6.09
TRES-5__2026-08-26,TRES-5,225,279.020107599193,267.3094373458866,8,0.9,good,True,49.1,20,74,13.939,32.822,2.35
TRES-5__2026-08-29,TRES-5,266,315.88300642249607,297.73199097378927,8,0.9,good,False,48.6,21,73,17.764,29.424,1.66
TRES-5__2026-09-01,TRES-5,241,359.6735587042425,292.23564442349567,8,0.9,good,False,54.6,20,74,39.819,169.599,4.26
TRES-5__2026-09-04,TRES-5,1091,278.08437254848917,301.77769361863284,8,0.9,good,True,69.9,24,56,52.816,112.43,2.13
WASP-2__2026-08-24,WASP-2,12,192.59992698473707,220.3113451992491,3,0.75,marginal,True,135.7,0,67,,1139.721,
