target,session_id,depth_source,track_id,depth_pct,depth_err_pct,significance_sigma,rp_rjup,rp_err_rjup,catalog_depth_pct,catalog_rp_rjup,depth_z_vs_catalog,status
TRES-5,TRES-5__2026-09-01,target window (position-chosen host),,2.2793803117660376,0.7488082791487015,3.0440105635015136,1.275242206887092,0.21033637398555927,2.192,1.194,0.11669250220547453,measured
CoRoT-2,CoRoT-2__2026-08-09,target window (position-chosen host),,0.8793900827777213,0.3213310531542258,2.736710548655408,0.8267677662291464,0.1529034036292395,2.75,1.466,-5.8214414662390634,inconclusive (below 3 sigma)
TRES-5,TRES-5__2026-08-29,target window (position-chosen host),,0.4231571755952522,0.3871799502352416,1.092921199401342,0.5494588042674218,0.2515063122412398,2.192,1.194,-4.568528983306186,inconclusive (below 3 sigma)
TRES-5,TRES-5__2026-08-26,target window (position-chosen host),,0.2329380924231449,0.3191063539090722,0.7299700854265015,0.4076660441646935,0.27930150352749833,2.192,1.194,-6.139213098010202,inconclusive (below 3 sigma)
HATP-10,HATP-10__2026-09-05,target window (position-chosen host),,0.0191115706724385,3.956502656478418,0.0048304202806852,0.11972993691603494,12.393329679721147,1.6,1.11,-0.39956713455986154,inconclusive (below 3 sigma)
TRES-3,TRES-3__2026-08-31,target window (position-chosen host),,-1.69954416298151,2.655850598459923,-0.6399246117108557,,,2.739,1.336,-1.6712326233845143,null (star brightened)
TRES-3,TRES-3__2026-08-14,target window (position-chosen host),,-2.8361091741247324,4.119457515949264,-0.6884666641527909,,,2.739,1.336,-1.353360036495008,null (star brightened)
TRES-5,TRES-5__2026-09-04,target window (position-chosen host),,-0.9419204811046904,1.300564923095948,-0.7242394934521857,,,2.192,1.194,-2.4096609292248985,null (star brightened)
TRES-3,TRES-3__2026-08-27,target window (position-chosen host),,-0.3936057514230606,0.3644668291417733,-1.0799494493090145,,,2.739,1.336,-8.595036642427928,null (star brightened)
CoRoT-2,CoRoT-2__2026-08-16,target window (position-chosen host),,-0.6356493604544606,0.5605300173617507,-1.134014844461452,,,2.75,1.466,-6.040085732410394,null (star brightened)
TRES-5,TRES-5__2026-08-17,target window (position-chosen host),,-0.6114478866380413,0.5149644684142687,-1.1873593697073397,,,2.192,1.194,-5.443963726799842,null (star brightened)
TRES-3,TRES-3__2026-08-10,target window (position-chosen host),,-4.153847776077559,3.215410302002814,-1.2918562130283062,,,2.739,1.336,-2.1436915132678847,null (star brightened)
Qatar-1,Qatar-1__2026-08-18,target window (position-chosen host),,-0.8504578791293701,0.5305708725487192,-1.6029109834921773,,,2.14,1.143,-5.636302393993131,null (star brightened)
TRES-5,TRES-5__2026-08-20,target window (position-chosen host),,-7.035601760665283,4.371651617210151,-1.609369267433799,,,2.192,1.194,-2.110781592096317,null (star brightened)
Qatar-1,Qatar-1__2026-08-21,target window (position-chosen host),,-0.4060821493815355,0.1611537288342691,-2.519843334181559,,,2.14,1.143,-15.799089278287399,null (star brightened)
WASP-2,WASP-2__2026-08-24,target window (position-chosen host),,-23.386068237587263,7.404568398778791,-3.1583296929830835,,,1.646,1.081,-3.3806248912111765,null (star brightened)
CoRoT-2,CoRoT-2__2026-08-16,best field candidate (host identity unverified),786.0,2.084812929764846,0.3949235885624656,5.279028627673599,1.272993834542511,0.12598373806585073,2.75,1.466,-1.6843437300275128,measured
HATP-10,HATP-10__2026-09-05,best field candidate (host identity unverified),704.0,1.9575844539292824,0.2307786303813745,8.48252045995015,1.2117549905651723,0.13025250605760952,1.6,1.11,1.5494695212392677,measured
Qatar-1,Qatar-1__2026-08-18,best field candidate (host identity unverified),107.0,4.921001056181815,0.9366130829721057,5.254038349076075,1.733432085720905,0.1685389350107711,2.14,1.143,2.9692101324882296,measured
TRES-5,TRES-5__2026-08-17,best field candidate (host identity unverified),495.0,1.7286504647584326,0.30468354485470295,5.673593122932809,1.110549383801824,0.09927329248960855,2.192,1.194,-1.5207566771042034,measured
