,WEATHER,airmass,TELALT,CAMTEMP,TELTEMP,TELHUM,sky_level,sky_sigma,peak_contrast,n_source_px
WEATHER,1.0,0.011,-0.088,0.153,0.225,-0.085,-0.131,-0.106,0.753,0.736
airmass,0.011,1.0,-0.768,-0.162,-0.145,-0.173,0.408,0.015,-0.129,-0.15
TELALT,-0.088,-0.768,1.0,0.113,0.076,0.298,-0.271,-0.085,0.163,0.051
CAMTEMP,0.153,-0.162,0.113,1.0,0.878,-0.402,0.073,0.13,0.01,0.073
TELTEMP,0.225,-0.145,0.076,0.878,1.0,-0.509,0.031,0.122,0.071,0.16
TELHUM,-0.085,-0.173,0.298,-0.402,-0.509,1.0,-0.023,-0.1,0.085,-0.02
sky_level,-0.131,0.408,-0.271,0.073,0.031,-0.023,1.0,0.379,-0.447,-0.423
sky_sigma,-0.106,0.015,-0.085,0.13,0.122,-0.1,0.379,1.0,-0.298,-0.249
peak_contrast,0.753,-0.129,0.163,0.01,0.071,0.085,-0.447,-0.298,1.0,0.808
n_source_px,0.736,-0.15,0.051,0.073,0.16,-0.02,-0.423,-0.249,0.808,1.0
