session_id,target,night,n_frames,start_utc,end_utc,span_hours,median_cadence_s,max_gap_s,mjd_start,mjd_end,airmass_min,airmass_max,median_sky,median_weather,npy,shape,mb
CoRoT-2__2026-08-09,CoRoT-2,2026-08-09,87,2026-08-09T05:18:53.898000+00:00,2026-08-09T09:36:15.210000+00:00,4.289,179.7,242.8,61261.221,61261.4,1.158,2.214,411.0,100.0,frames/CoRoT-2__2026-08-09.npy,"(87, 500, 650)",56.5
CoRoT-2__2026-08-16,CoRoT-2,2026-08-16,86,2026-08-16T04:40:02.011000+00:00,2026-08-16T08:57:15.925000+00:00,4.287,180.3,360.0,61268.194,61268.373,1.158,2.05,405.0,98.0,frames/CoRoT-2__2026-08-16.npy,"(86, 500, 650)",55.9
CoRoT-2__2026-08-23,CoRoT-2,2026-08-23,86,2026-08-23T03:57:58.009000+00:00,2026-08-23T08:15:15.644000+00:00,4.288,180.3,360.8,61275.165,61275.344,1.158,1.881,588.0,18.0,frames/CoRoT-2__2026-08-23.npy,"(86, 500, 650)",55.9
CoRoT-2__2026-08-30,CoRoT-2,2026-08-30,87,2026-08-30T03:18:36.985000+00:00,2026-08-30T07:48:13.286000+00:00,4.493,180.0,394.4,61282.138,61282.325,1.158,1.886,1033.0,4.0,frames/CoRoT-2__2026-08-30.npy,"(87, 500, 650)",56.5
HATP-10__2026-09-05,HATP-10,2026-09-05,93,2026-09-05T07:42:24.011000+00:00,2026-09-05T12:21:23.244000+00:00,4.65,144.3,478.0,61288.321,61288.515,1.0,1.54,423.0,100.0,frames/HATP-10__2026-09-05.npy,"(93, 500, 650)",60.5
Qatar-1__2026-08-18,Qatar-1,2026-08-18,75,2026-08-18T08:24:49.906000+00:00,2026-08-18T12:25:45.780000+00:00,4.016,180.4,475.3,61270.351,61270.518,1.324,2.374,405.0,100.0,frames/Qatar-1__2026-08-18.npy,"(75, 500, 650)",48.8
Qatar-1__2026-08-21,Qatar-1,2026-08-21,74,2026-08-21T04:37:41.530000+00:00,2026-08-21T08:15:15.581000+00:00,3.626,180.3,181.4,61273.193,61273.344,1.2,1.327,412.5,100.0,frames/Qatar-1__2026-08-21.npy,"(74, 500, 650)",48.1
Qatar-1__2026-08-28,Qatar-1,2026-08-28,73,2026-08-28T07:00:36.825000+00:00,2026-08-28T10:39:15.361000+00:00,3.644,180.3,359.9,61280.292,61280.444,1.26,1.902,2249.0,49.0,frames/Qatar-1__2026-08-28.npy,"(73, 500, 650)",47.5
TRES-1__2026-08-06,TRES-1,2026-08-06,91,2026-08-06T07:34:22.622000+00:00,2026-08-06T12:38:15.923000+00:00,5.065,180.4,457.2,61258.316,61258.527,1.115,9.203,481.0,0.0,frames/TRES-1__2026-08-06.npy,"(91, 500, 650)",59.1
TRES-3__2026-08-10,TRES-3,2026-08-10,70,2026-08-10T06:06:40.229000+00:00,2026-08-10T09:55:34.777000+00:00,3.815,180.4,447.9,61262.255,61262.414,1.115,2.977,410.0,65.0,frames/TRES-3__2026-08-10.npy,"(70, 500, 650)",45.5
TRES-3__2026-08-14,TRES-3,2026-08-14,51,2026-08-14T04:09:28.759000+00:00,2026-08-14T06:39:16.613000+00:00,2.497,180.0,232.8,61266.173,61266.277,1.009,1.234,406.0,45.0,frames/TRES-3__2026-08-14.npy,"(51, 500, 650)",33.1
TRES-3__2026-08-27,TRES-3,2026-08-27,70,2026-08-27T05:39:37.519000+00:00,2026-08-27T09:06:17.095000+00:00,3.444,179.7,181.6,61279.236,61279.379,1.209,3.519,679.0,100.0,frames/TRES-3__2026-08-27.npy,"(70, 500, 650)",45.5
