session_id,target,epoch,coverage_frac,expected_depth_pct,n_in,n_out,depth_pct,depth_err_pct,significance_sigma,out_of_transit_rms_ppt
TRES-5__2026-09-01,TRES-5,3256,1.0,2.192,31,43,2.2793803117660376,0.7488082791487015,3.0440105635015136,49.11298888507883
CoRoT-2__2026-08-09,CoRoT-2,4030,1.0,2.75,45,41,0.8793900827777213,0.32133105315422583,2.7367105486554077,13.012938171774604
TRES-5__2026-08-29,TRES-5,3254,1.0,2.192,33,40,0.4231571755952522,0.3871799502352416,1.0929211994013421,21.66386421168675
TRES-5__2026-08-26,TRES-5,3252,1.0,2.192,31,43,0.2329380924231449,0.3191063539090722,0.7299700854265015,14.382696078099226
HATP-10__2026-09-05,HATP-10,1170,1.0,1.6,56,31,0.019111570672438537,3.9565026564784174,0.004830420280685282,168.5624427030378
TRES-3__2026-08-31,TRES-3,5434,1.0,2.739,28,39,-1.69954416298151,2.655850598459923,-0.6399246117108557,58.44587018248292
TRES-3__2026-08-14,TRES-3,5421,1.0,2.739,26,23,-2.8361091741247324,4.119457515949264,-0.6884666641527909,32.82605338561536
TRES-5__2026-09-04,TRES-5,3258,1.0,2.192,32,24,-0.9419204811046904,1.300564923095948,-0.7242394934521857,35.83678141054396
TRES-3__2026-08-27,TRES-3,5431,1.0,2.739,28,42,-0.39360575142306065,0.3644668291417733,-1.0799494493090143,16.902783755083725
CoRoT-2__2026-08-16,CoRoT-2,4034,1.0,2.75,45,40,-0.6356493604544606,0.5605300173617507,-1.134014844461452,9.638705399915638
TRES-5__2026-08-17,TRES-5,3246,0.994,2.192,32,20,-0.6114478866380413,0.5149644684142687,-1.1873593697073395,22.067591961296184
TRES-3__2026-08-10,TRES-3,5418,0.982,2.739,29,22,-4.1538477760775585,3.215410302002814,-1.2918562130283062,19.9174147899795
Qatar-1__2026-08-18,Qatar-1,3547,1.0,2.14,33,38,-0.8504578791293701,0.5305708725487192,-1.6029109834921773,19.305707358147032
TRES-5__2026-08-20,TRES-5,3248,1.0,2.192,29,37,-7.035601760665283,4.371651617210151,-1.609369267433799,26.721329397955603
Qatar-1__2026-08-21,Qatar-1,3549,1.0,2.14,33,40,-0.4060821493815355,0.1611537288342691,-2.519843334181559,6.674629705570171
WASP-2__2026-08-24,WASP-2,1365,0.667,1.646,23,40,-23.386068237587263,7.404568398778791,-3.1583296929830835,263.6499248597198
